distance,index
[380.6 263.6 154.5 376.3   0.  134.8 357.2],[436  40 405 539 271  37 280]
"[223.4   0.  492.3  46.5 175.  381.2 249.8 237.4 466.8 306.  392.7 352.4
 405.3]",[694 193 731 577 529 513  25 559 281 717 686 724 292]
[462.3  75.3  77.2 201.5  53.9  69.9   0.    0.7],[320 173 437 242 497 345 142 309]
[  0.   11.9 160.1 388.2  62.6 114.8],[ 76 276 237  89  99 372]
"[ 79.4 131.6   0.  138.7 193.3 340.8 111.5 193.3 172.4 153.5 259.2 484.3
 217.5 416.8 371.1 484.6 291.2 422.6 270.4]","[502  58  64 576 621 348 550 291 556 208 568 296   4 350 215  14 463 546
 537]"
[476.7 450.8 468.6 469.6 292.7   0.  292.7 387.3 284.5 309.8 278.2],[195 370 125 364 511 672 579 357 501 618 666]
[489.6   0.   87.4  13.8  36.7],[676  52 243 352  75]
[404.1 418.6 101.6   0.  193.4 489.5 370.9 123.9 430.2 297.  214.9],[709 499 598 487 143  69 533 415 275 654 523]
[365.4 314.6 173.7   0.    8.3  71.3 122.6 115.2 238. ],[111 118 158 397 459 727 151 526  98]
[170.4   0.  405.7 118.8 201.4  54.8 186.1 331.5  65.2 398.9],[531 452 545 408 127 210  81 630 646  56]
[0.],[313]
"[443.9 250.7 422.8 175.6 363.2 278.3 479.4 117.  216.4 179.   94.5 101.
 198.8 153.6 144.  214.9   0.  235.6  18.9 403.2 160.3 178.1  57.7 121.3
 428.7 428.5 142.1  44.5]","[430 522 702 515 239 677 591 346  13 333 693 349 172  77 439 300 563 278
 476 625 519 479 742 495  68 351 628 730]"
"[ 87.7 275.6   0.  462.7 343.7 267.6  59.4 140.8 394.6 146.5 303.7 279.1
 279.1 494.2 200.2 160.5 220.6 441.6 134.8 121.6 428.  493.4 482.7 494.9]","[224 175 317  71 534 632 555 387 417 468 647 471  72   1 610 137 179 240
 100 171 246 106 189 653]"
[ 84.3   0.   99.4  52.1 240.6  82.6  87.  198.1 389.9],[194 181 332 648 473 124 322 740 392]
[483.6 479.4 433.3 457.1 264.5 183.1 101.4 485.  490.    0.  466.6 492.7],[343 641 435 285 269 508 371 491 362 204 214 396]
[ 50.9 328.    0.  413.7 488.  314.6 306.4 384.  194.3 213.   78.9],[111 589 118 392 158 397 459 727 151 526  98]
